SITECODE,SITENAME,RELEASE_DA,MS
DE8220404,Überlinger See des Bodensees,2017/11/29,DE
DE8218401,Hohentwiel/Hohenkrähen,2017/11/29,DE
DE8321401,Konstanzer Bucht des Bodensees,2017/11/29,DE
DE8311441,Tüllinger Berg und Gleusen,2017/11/29,DE
DE1446401,Binnenbodden von Rügen,2017/11/29,DE
DE8220402,Bodanrück,2017/11/29,DE
DE1343401,Plantagenetgrund,2017/11/29,DE
DE1542401,Vorpommersche Boddenlandschaft und nördlicher Strelasund,2017/11/29,DE
DE2331471,Schaalsee-Landschaft,2017/11/29,DE
DE3627401,Wendesser Moor,2017/11/29,DE
DE3630401,Laubwälder zwischen Braunschweig und Wolfsburg,2017/11/29,DE
DE7114441,Rheinniederung von der Rench- bis zur Murgmündung,2017/11/29,DE
DE7121442,Unteres Remstal,2017/11/29,DE
DE7121441,Vogelinsel Max-Eyth-See,2017/11/29,DE
DE7425401,Salenberg,2017/11/29,DE
DE7126401,Ostalbtrauf bei Aalen,2017/11/29,DE
DE7422441,Mittlere Schwäbische Alb,2017/11/29,DE
DE7513441,Kinzig-Schutter-Niederung,2017/11/29,DE
DE7512401,Rheinniederung Nonnenweier - Kehl,2017/11/29,DE
DE7911401,Rheinniederung Breisach - Sasbach mit Limberg,2017/11/29,DE
DE7420441,Schönbuch,2017/11/29,DE
DE7127401,Tierstein mit Hangwald und Egerquelle,2017/11/29,DE
DE7912441,Mooswälder bei Freiburg,2017/11/29,DE
DE8324441,Schwarzensee und Kolbenmoos,2017/11/29,DE
DE7123441,"Streuobst- und Weinberggebiete zw. Geradstetten, Rudersberg...",2017/11/29,DE
DE7912442,Kaiserstuhl,2017/11/29,DE
DE8325441,Bodenmöser,2017/11/29,DE
DE7419401,Kochhartgraben und Ammertalhänge,2017/11/29,DE
