SITECODE,SITENAME,RELEASE_DA,MS
DE2640401,Feldmark Massow-Wendisch Priborn-Satow,2019/12/13,DE
DE2549471,Mittleres Ueckertal,2019/12/13,DE
DE2645402,Wald- und Seenlandschaft Lieps-Serrahn,2019/12/13,DE
DE2617401,Unterweser,2019/12/13,DE
DE2709401,Rheiderland,2019/12/13,DE
DE2344401,Kuppiges Tollensegebiet zwischen Rosenow und Penzlin,2019/12/13,DE
DE2609401,Emsmarsch von Leer bis Emden,2019/12/13,DE
DE2639471,Retzower Heide,2019/12/13,DE
DE2642401,Müritz-Seenland und Neustrelitzer Kleinseenplatte,2019/12/13,DE
DE2651471,Randowtal,2019/12/13,DE
DE2723401,Moore bei Sittensen,2019/12/13,DE
DE2736471,Feldmark Stolpe - Karrenzin - Dambeck - Werle,2019/12/13,DE
DE2734401,Feldmark Eldena bei Grabow,2019/12/13,DE
DE2741401,Buchholzer-Krümmeler Heide,2019/12/13,DE
DE2534401,Feldmark Rastow - Kraak,2019/12/13,DE
DE2816401,Hunteniederung,2019/12/13,DE
DE2719401,Hammeniederung,2019/12/13,DE
DE2820402,Wümmewiesen bei Fischerhude,2019/12/13,DE
DE2832401,Niedersächsische Mittelelbe,2019/12/13,DE
DE2732473,Mecklenburgisches Elbetal,2019/12/13,DE
DE2909401,Emstal von Lathen bis Papenburg,2019/12/13,DE
DE2911401,Esterweger Dose,2019/12/13,DE
DE2930401,Ostheide bei Himbergen und Bad Bodenteich,2019/12/13,DE
DE3027401,Große Heide bei Unterlüß und Kiehnmoor,2019/12/13,DE
DE3026401,Truppenübungsplätze Munster Nord und Süd,2019/12/13,DE
DE2931401,Drawehn,2019/12/13,DE
DE3124401,Truppenübungsplatz Bergen,2019/12/13,DE
DE3222401,Untere Allerniederung,2019/12/13,DE
DE2933401,Lucie,2019/12/13,DE
DE3032401,Landgraben- und Dummeniederung,2019/12/13,DE
DE3211431,Niederungen der Süd- und Mittelradde und der Marka,2019/12/13,DE
DE3227401,Südheide und Aschauteiche bei Eschede,2019/12/13,DE
DE3229401,Schweimker Moor und Lüderbruch,2019/12/13,DE
DE2733401,Lübtheener Heide,2019/12/13,DE
DE3224401,Ostenholzer Moor und Meißendorfer Teiche,2019/12/13,DE
DE3418401,Diepholzer Moorniederung,2019/12/13,DE
DE3408401,Dalum-Wietmarscher Moor und Georgsdorfer Moor,2019/12/13,DE
DE3415401,Dümmer,2019/12/13,DE
DE3419401,Kuppendorfer Böhrde,2019/12/13,DE
DE3429401,Großes Moor bei Gifhorn,2019/12/13,DE
DE3420401,Wesertalaue bei Landesbergen,2019/12/13,DE
DE3513401,Alfsee,2019/12/13,DE
DE3509401,Engdener Wüste,2019/12/13,DE
DE3720431,Uhu-Brutplätze im Weserbergland,2019/12/13,DE
DE3520431,Schaumburger Wald,2019/12/13,DE
DE3431401,Drömling,2019/12/13,DE
DE3530401,Barnbruch,2019/12/13,DE
DE3928401,Innerstetal von Langelsheim bis Groß Düngen,2019/12/13,DE
DE3727401,Lengeder Teiche,2019/12/13,DE
DE4029401,Okertal bei Vienenburg,2019/12/13,DE
DE3828401,Heerter See,2019/12/13,DE
DE3521401,Steinhuder Meer,2019/12/13,DE
DE4022431,Sollingvorland,2019/12/13,DE
DE3825401,Hildesheimer Wald,2019/12/13,DE
DE4128431,Klippen im Okertal,2019/12/13,DE
DE4229402,Nationalpark Harz,2019/12/13,DE
DE4223401,Solling,2019/12/13,DE
DE4225401,Leinetal bei Salzderhelden,2019/12/13,DE
DE4426401,Unteres Eichsfeld,2019/12/13,DE
DE4329401,Südharz bei Zorge,2019/12/13,DE
DE6323441,Heiden und Wälder Tauberland,2019/12/13,DE
DE6425441,Wiesenweihe Taubergrund,2019/12/13,DE
DE6418401,Wachenberg bei Weinheim,2019/12/13,DE
DE6518401,Bergstraße Dossenheim - Schriesheim,2019/12/13,DE
DE6422401,Lappen bei Walldürn,2019/12/13,DE
DE6618401,Steinbruch Leimen,2019/12/13,DE
DE6618402,Felsenberg,2019/12/13,DE
DE6624401,Jagst mit Seitentälern,2019/12/13,DE
DE6616441,Rheinniederung Altlußheim - Mannheim,2019/12/13,DE
DE6617441,Schwetzinger und Hockenheimer Hardt,2019/12/13,DE
DE6717401,Wagbachniederung,2019/12/13,DE
DE6816401,Rheinniederung Karlsruhe - Rheinsheim,2019/12/13,DE
DE6726441,Hohenloher Ebene östlich von Wallhausen,2019/12/13,DE
DE6817441,Saalbachniederung bei Hambrücken,2019/12/13,DE
DE6823441,Kocher mit Seitentälern,2019/12/13,DE
DE7015441,Rheinniederung Elchesheim - Karlsruhe,2019/12/13,DE
DE7016401,Kälberklamm und Hasenklamm,2019/12/13,DE
DE6919441,Stromberg,2019/12/13,DE
DE7226441,Albuch,2019/12/13,DE
DE7019441,Enztal Mühlhausen - Roßwag,2019/12/13,DE
DE7018401,Weiher bei Maulbronn,2019/12/13,DE
DE7214441,Riedmatten und Schiftunger Bruch,2019/12/13,DE
DE6916441,Hardtwald nördlich von Karlsruhe,2019/12/13,DE
DE7313401,Rheinniederung Kehl - Helmlingen,2019/12/13,DE
DE7314441,Acher-Niederung,2019/12/13,DE
DE7313441,Renchniederung,2019/12/13,DE
DE7225401,Albtrauf Heubach,2019/12/13,DE
